PDS,PSG,DRI,T_TFC_ACC,DATE,SOA_FATAL,SOA_SERIOUS,SOA_SLIGHT,VCT_VEHICLE,VCT_PDS,VCT_OBJ,VCT_NONCOL,NO_ISSUE_WARN_8_14PT,NO_ISSUE_SINCE_1984,NO_SUMMON_15PT_MORE,NO_SUMMON_SINCE_1984,NO_DRI_INCUR_PT_5YR,NO_VALID_LIC_TYPE1,NO_VALID_LIC_TYPE2,NO_VALID_LIC_TYPE3,NO_VALID_LIC_TYPE4,NO_NOVER_3YR_EXP_LIC_TYPE1,NO_NOVER_3YR_EXP_LIC_TYPE2,NO_NOVER_3YR_EXP_LIC_TYPE3,NO_OVER_3YR_EXP_LIC_TYPE1,NO_OVER_3YR_EXP_LIC_TYPE2,NO_OVER_3YR_EXP_LIC_TYPE3,ACCIDENT_RATE
122,185,679,833,2022-02-01,8,72,753,423,111,74,225,2880,1501310,152,122385,530443,2324268.0,1705.0,58361.0,110907.0,219296.0,338.0,125725.0,874661.0,4772.0,390061.0,0.146875
133,198,668,847,2022-03-01,7,66,774,450,125,60,212,3363,1504673,150,122535,530177,2321335.0,1694.0,54630.0,106278.0,220443.0,347.0,125778.0,879690.0,4776.0,394178.0,0.13380909901873328
159,298,840,1060,2022-04-01,5,91,964,548,150,59,303,3602,1508275,135,122670,530840,2322232.0,1702.0,50914.0,105876.0,219733.0,337.0,126696.0,883935.0,4778.0,397654.0,0.1521377012770683
236,439,1083,1423,2022-05-01,10,109,1304,758,225,94,346,3661,1511936,180,122850,531029,2325142.0,1728.0,49291.0,107572.0,219285.0,315.0,128357.0,887999.0,4783.0,401076.0,0.20704725484840208
225,468,1142,1461,2022-06-01,6,99,1356,819,211,87,344,4302,1516238,220,123070,530427,2329580.0,1726.0,47790.0,108120.0,217790.0,311.0,130422.0,892457.0,4784.0,404687.0,0.1903765690376569
217,431,1001,1343,2022-07-01,7,97,1239,750,197,79,317,3532,1519770,181,123251,530280,2332835.0,1720.0,46403.0,108950.0,216637.0,318.0,131435.0,897126.0,4787.0,408922.0,0.21234428086070214
222,433,1053,1385,2022-08-01,7,90,1288,785,212,90,298,4524,1524294,253,123504,530422,2337106.0,1726.0,45526.0,109201.0,215806.0,305.0,132477.0,901756.0,4791.0,413240.0,0.17351900972590628
206,423,1014,1302,2022-09-01,9,86,1207,748,191,69,294,3483,1527777,221,123725,530044,2341590.0,1720.0,44633.0,108352.0,214399.0,311.0,133872.0,906495.0,4798.0,416722.0,0.2147573930519667
232,414,1076,1438,2022-10-01,12,83,1343,776,226,64,372,3477,1531254,193,123918,529701,2344626.0,1714.0,44066.0,108025.0,213310.0,316.0,134585.0,911228.0,4804.0,420186.0,0.22318090307736554
196,436,961,1279,2022-11-01,9,68,1202,734,182,63,300,4713,1535967,213,124131,529695,2348451.0,1722.0,42726.0,107097.0,212198.0,320.0,135528.0,915953.0,4807.0,424245.0,0.15573944409081264
248,462,877,1288,2022-12-01,6,57,1225,689,226,69,304,3209,1539176,161,124292,528980,2351926.0,1716.0,41128.0,106059.0,211122.0,329.0,136794.0,920479.0,4808.0,428014.0,0.2147086319725771
230,524,1015,1378,2023-01-01,9,104,1265,763,220,62,333,3046,1542222,185,124477,528125,2354962.0,1715.0,39785.0,105145.0,210152.0,331.0,137322.0,924945.0,4814.0,431761.0,0.2504924491135916
231,503,988,1358,2023-02-01,9,96,1253,744,224,71,319,3984,1546206,216,124693,529221,2361950.0,1714.0,42409.0,108982.0,206104.0,325.0,135588.0,929717.0,4821.0,434268.0,0.18674698795180722
239,693,1180,1546,2023-03-01,7,91,1448,889,230,114,313,4786,1550992,280,124973,529896,2369803.0,1706.0,46205.0,111661.0,200988.0,332.0,132616.0,935744.0,4828.0,437678.0,0.18575010447137486
220,489,989,1316,2023-04-01,13,86,1217,716,213,87,300,3117,1554109,180,125153,528834,2374122.0,1700.0,48625.0,109826.0,198474.0,342.0,129814.0,940178.0,4831.0,441205.0,0.22970805261469363
250,497,1111,1453,2023-05-01,7,105,1341,796,236,83,338,4720,1558829,293,125446,529166,2380554.0,1678.0,49324.0,108052.0,195663.0,352.0,129333.0,944753.0,4842.0,445180.0,0.16864406779661018
255,548,1078,1450,2023-06-01,4,88,1358,808,246,102,294,3365,1562194,220,125666,529518,2387570.0,1690.0,49410.0,107372.0,193043.0,353.0,130045.0,949603.0,4844.0,448595.0,0.24011887072808322
191,622,1188,1521,2023-07-01,11,97,1413,894,183,112,332,3467,1565661,230,125896,529420,2393899.0,1703.0,49459.0,106601.0,191422.0,338.0,130085.0,954330.0,4849.0,452399.0,0.2578598211710412
212,544,1068,1396,2023-08-01,7,68,1321,796,202,90,308,4248,1569909,254,126150,529095,2401707.0,1717.0,49452.0,106990.0,189485.0,325.0,130335.0,958970.0,4861.0,456453.0,0.1873822975517891
212,542,1163,1494,2023-09-01,6,77,1411,861,210,85,338,3200,1573109,216,126366,527942,2407616.0,1722.0,49006.0,107059.0,188486.0,314.0,130372.0,963422.0,4872.0,460420.0,0.2690625
220,508,1084,1430,2023-10-01,11,71,1348,804,208,82,336,3163,1576272,202,126568,526988,2413226.0,1738.0,49080.0,107436.0,187310.0,301.0,130304.0,968011.0,4878.0,464059.0,0.25418906101802086
285,564,1120,1529,2023-11-01,8,80,1441,858,265,76,330,4250,1580522,281,126849,525967,2420580.0,1787.0,50142.0,108036.0,185735.0,272.0,129842.0,972631.0,4879.0,468087.0,0.20188235294117646
206,549,951,1318,2023-12-01,4,37,1277,718,195,82,323,3257,1583779,190,127039,525260,2425681.0,1799.0,51179.0,108291.0,184854.0,272.0,128762.0,976972.0,4883.0,472528.0,0.22044826527479275
245,733,1232,1619,2024-01-01,9,93,1517,957,231,75,356,4106,1587885,268,127307,524338,2432510.0,1800.0,53423.0,111156.0,183935.0,264.0,128007.0,981258.0,4889.0,476049.0,0.2330735509011203
197,581,1012,1353,2024-02-01,3,61,1289,770,193,76,314,3031,1590916,151,127458,523283,2436970.0,1812.0,54459.0,110824.0,182695.0,265.0,130347.0,985466.0,4891.0,477107.0,0.2540415704387991
225,592,1169,1523,2024-03-01,4,69,1450,884,216,92,331,3249,1594165,194,127652,522941,2443316.0,1810.0,54408.0,111246.0,181813.0,281.0,132791.0,990369.0,4894.0,478863.0,0.2720837180670976
208,622,1218,1557,2024-04-01,11,61,1485,877,202,121,357,3155,1597320,200,127852,522849,2450073.0,1801.0,55935.0,112587.0,181133.0,292.0,134587.0,994208.0,4897.0,480121.0,0.2779714738510301
230,604,1240,1611,2024-05-01,9,77,1525,906,213,101,391,3649,1600969,228,128080,522116,2456057.0,1801.0,56490.0,112535.0,180865.0,300.0,136811.0,998336.0,4900.0,482046.0,0.24828720197314333
193,601,1216,1519,2024-06-01,5,69,1445,909,185,85,340,2930,1603899,220,128300,522057,2461316.0,1793.0,56277.0,111333.0,180781.0,314.0,136536.0,1002382.0,4908.0,486595.0,0.3102389078498293
205,634,1244,1567,2024-07-01,5,72,1490,893,198,123,353,3595,1607494,218,128518,522040,2467700.0,1792.0,57252.0,111614.0,180889.0,310.0,136236.0,1006376.0,4916.0,490720.0,0.24840055632823366
238,520,1204,1535,2024-08-01,10,61,1464,905,225,89,316,2888,1610382,179,128697,523052,2473529.0,1789.0,57442.0,111289.0,180641.0,318.0,139141.0,1010996.0,4922.0,492193.0,0.31336565096952906
206,506,1200,1533,2024-09-01,9,56,1468,926,200,81,326,3034,1613416,188,128885,522908,2478324.0,1797.0,58513.0,111009.0,181386.0,320.0,139671.0,1015105.0,4928.0,495176.0,0.3052076466710613
242,509,1182,1561,2024-10-01,6,53,1502,909,237,61,354,3740,1617156,230,129115,523756,2483588.0,1792.0,60018.0,110708.0,182093.0,325.0,139021.0,1019478.0,4930.0,499368.0,0.24304812834224598
251,545,1182,1599,2024-11-01,6,43,1550,915,242,81,361,3089,1620245,183,129298,524208,2488498.0,1743.0,60028.0,109180.0,182772.0,364.0,138725.0,1023942.0,4935.0,504335.0,0.29621236646163807
225,460,985,1377,2024-12-01,6,36,1335,776,219,48,334,2958,1623203,201,129499,522977,2493225.0,1742.0,60292.0,108858.0,183998.0,360.0,141620.0,1027880.0,4940.0,505815.0,0.2623394185260311
203,462,915,1300,2025-01-01,10,28,1262,723,182,57,338,3602,1626805,239,129738,521669,2497703.0,1735.0,59605.0,105838.0,185244.0,372.0,146192.0,1031822.0,4943.0,506320.0,0.20072182121043863
