PDS,PSG,DRI,T_TFC_ACC,DATE,SOA_FATAL,SOA_SERIOUS,SOA_SLIGHT,VCT_VEHICLE,VCT_PDS,VCT_OBJ,VCT_NONCOL,NO_ISSUE_WARN_8_14PT,NO_ISSUE_SINCE_1984,NO_SUMMON_15PT_MORE,NO_SUMMON_SINCE_1984,NO_DRI_INCUR_PT_5YR,NO_VALID_LIC_TYPE1,NO_VALID_LIC_TYPE2,NO_VALID_LIC_TYPE3,NO_VALID_LIC_TYPE4,NO_NOVER_3YR_EXP_LIC_TYPE1,NO_NOVER_3YR_EXP_LIC_TYPE2,NO_NOVER_3YR_EXP_LIC_TYPE3,NO_OVER_3YR_EXP_LIC_TYPE1,NO_OVER_3YR_EXP_LIC_TYPE2,NO_OVER_3YR_EXP_LIC_TYPE3,ACCIDENT_RATE
273,569,845,1324,2015-03-01,13,208,1103,563,243,75,443,4475,1197203,192,107610,521742,2103063.0,1455.0,48224.0,92333.0,57943.0,376.0,114654.0,692772.0,4458.0,98367.0,0.12581005586592178
256,536,825,1298,2015-04-01,10,234,1054,547,239,73,439,3330,1200533,151,107761,521926,2109176.0,1452.0,48013.0,91756.0,57873.0,378.0,115625.0,693784.0,4462.0,101151.0,0.16426426426426427
307,654,847,1379,2015-05-01,9,194,1176,568,281,94,436,3332,1203865,142,107903,522454,2115066.0,1496.0,47890.0,91093.0,57902.0,361.0,116439.0,694844.0,4468.0,104010.0,0.17046818727490998
303,586,908,1391,2015-06-01,9,214,1168,659,283,84,365,4141,1208006,175,108078,522582,2122277.0,1515.0,48242.0,91052.0,58128.0,367.0,116912.0,695734.0,4470.0,107288.0,0.15914030427432987
300,581,918,1428,2015-07-01,18,237,1173,660,273,97,398,3350,1211356,161,108239,523204,2129388.0,1542.0,48121.0,90492.0,58083.0,351.0,118014.0,696784.0,4474.0,110202.0,0.19701492537313434
270,588,882,1349,2015-08-01,5,201,1143,631,246,90,382,3607,1214963,186,108425,524241,2135760.0,1563.0,47917.0,90420.0,58468.0,349.0,118630.0,697856.0,4477.0,113429.0,0.17493762129193235
304,506,892,1436,2015-09-01,7,216,1213,644,272,76,444,4019,1218982,184,108609,524391,2142138.0,1568.0,47971.0,90083.0,58725.0,360.0,119296.0,698889.0,4478.0,116411.0,0.16023886538940035
303,561,926,1421,2015-10-01,10,222,1189,623,278,86,434,3500,1222482,140,108749,524928,2147965.0,1578.0,47678.0,89682.0,58906.0,366.0,120014.0,699944.0,4481.0,119269.0,0.178
294,518,819,1314,2015-11-01,6,204,1104,573,273,64,404,3915,1226397,168,108917,526120,2154196.0,1594.0,47994.0,89710.0,59304.0,362.0,120352.0,700811.0,4484.0,122501.0,0.14636015325670498
302,543,797,1294,2015-12-01,15,174,1105,553,281,82,378,4370,1230767,165,109082,526901,2161299.0,1612.0,48644.0,91610.0,59466.0,360.0,121030.0,701745.0,4487.0,125685.0,0.12654462242562928
308,627,875,1453,2016-01-01,7,206,1240,682,290,88,393,3658,1234425,160,109242,526896,2167978.0,1625.0,48377.0,92130.0,59810.0,360.0,122397.0,702815.0,4492.0,128372.0,0.1864406779661017
248,457,689,1141,2016-02-01,4,186,951,505,225,61,350,2965,1237390,135,109377,526100,2172852.0,1640.0,48450.0,93861.0,60086.0,348.0,122985.0,703727.0,4496.0,131290.0,0.1703204047217538
257,536,853,1327,2016-03-01,8,193,1126,631,233,83,380,3912,1241302,188,109565,526608,2178604.0,1646.0,48480.0,94262.0,60597.0,351.0,123853.0,704717.0,4498.0,134469.0,0.16129856850715746
301,482,837,1319,2016-04-01,10,196,1113,627,281,80,331,3324,1244626,160,109725,526869,2184457.0,1656.0,49146.0,94645.0,61077.0,345.0,124859.0,705357.0,4501.0,136967.0,0.18862815884476533
303,564,923,1424,2016-05-01,9,236,1179,660,283,88,393,4383,1249009,202,109927,527664,2190618.0,1660.0,50678.0,95104.0,61605.0,350.0,125554.0,706160.0,4506.0,139781.0,0.15058179329226556
283,624,901,1369,2016-06-01,12,222,1135,628,259,93,389,3130,1252139,153,110080,527693,2196714.0,1662.0,51655.0,94283.0,62435.0,360.0,127088.0,706942.0,4506.0,142258.0,0.20063897763578276
285,506,836,1316,2016-07-01,8,200,1108,591,267,77,381,3312,1255451,147,110227,528313,2202334.0,1654.0,52114.0,92938.0,63386.0,372.0,127998.0,707828.0,4507.0,145183.0,0.17844202898550723
273,506,856,1296,2016-08-01,12,195,1089,615,254,68,359,3605,1259056,138,110365,528507,2208088.0,1653.0,53042.0,92786.0,64580.0,380.0,128375.0,708752.0,4510.0,148428.0,0.17059639389736478
282,506,847,1322,2016-09-01,14,208,1100,614,261,80,367,3102,1262158,182,110547,529108,2213571.0,1656.0,53213.0,92859.0,65724.0,381.0,129391.0,709611.0,4518.0,151138.0,0.19793681495809157
277,568,872,1354,2016-10-01,11,190,1153,634,257,76,387,3401,1265559,153,110700,530112,2217810.0,1657.0,53600.0,92254.0,66726.0,390.0,129991.0,710588.0,4520.0,153834.0,0.18641576007056748
303,562,890,1417,2016-11-01,11,186,1220,698,275,69,375,4938,1270497,226,110926,531942,2223383.0,1668.0,53974.0,93114.0,67658.0,389.0,130642.0,711495.0,4519.0,157060.0,0.14135277440259214
309,567,819,1361,2016-12-01,23,161,1177,622,287,63,389,3555,1274052,150,111076,531435,2229183.0,1675.0,53443.0,93226.0,68635.0,382.0,132123.0,712357.0,4525.0,160091.0,0.1749648382559775
284,608,867,1397,2017-01-01,10,195,1192,679,262,50,406,3829,1277881,179,111255,532169,2234292.0,1668.0,53421.0,94055.0,69735.0,390.0,133086.0,713427.0,4527.0,162883.0,0.1773308957952468
243,409,721,1130,2017-02-01,9,171,950,520,230,69,311,3550,1281431,160,111415,532533,2240087.0,1672.0,53925.0,96701.0,69918.0,382.0,134180.0,714628.0,4531.0,165131.0,0.14647887323943662
290,541,853,1341,2017-03-01,9,194,1138,655,274,74,338,5051,1286482,235,111650,533237,2247006.0,1667.0,54414.0,97889.0,70476.0,391.0,135484.0,715876.0,4534.0,168050.0,0.12967729162542072
263,563,869,1302,2017-04-01,10,194,1098,600,251,70,381,3231,1289713,170,111820,532407,2251716.0,1662.0,53711.0,97350.0,71118.0,391.0,136920.0,717067.0,4536.0,170729.0,0.18570102135561745
278,563,940,1371,2017-05-01,10,211,1150,673,269,70,359,4376,1294089,215,112035,532717,2257862.0,1660.0,52789.0,97421.0,71970.0,395.0,138946.0,718273.0,4539.0,173736.0,0.15379341864716636
282,591,810,1309,2017-06-01,7,195,1107,624,259,79,347,3827,1297916,180,112215,533807,2258659.0,1666.0,51959.0,97512.0,78729.0,388.0,140946.0,719511.0,4544.0,176742.0,0.16305199895479489
